Heat #,Timestamp,Lane 1 Name,Lane 1 Time,Lane 2 Name,Lane 2 Time,Lane 3 Name,Lane 3 Time,Lane 4 Name,Lane 4 Time,Heat Winner
1,2026-02-12 15:44:15,ok,7.1066,pl,6.9379,,5.4544,,3.4376,
2,2026-02-12 15:44:41,ok,0.8755,pl,0.7728,,0.6965,,0.6478,
